SL.No,Date,Category,Sub category,Ward Name/No,Zone Name,Grievance Mode,Status
250,02-03-2020,Health Dept,Unhygienic premises in Hotel etc,Kavalbyrasandra/32,East,Nammabengaluru App,CLOSED
251,02-03-2020,Health Dept,Delay in issue of Trade licence,Jagajeevanram Nagar/136,West,BBMP Website,CLOSED
252,02-03-2020,Health Dept,Birth & Death Registration,Ulsoor/90,East,BBMP Website,REJECTED
253,02-03-2020,Health Dept,Increase in mosquito density,Kodigehalli/8,Yelahanka,Nammabengaluru App,CLOSED
254,02-03-2020,Health Dept,Increase in mosquito density,Vijanapura/51,Mahadevapura,Nammabengaluru App,CLOSED
255,02-03-2020,Health Dept,Unhygienic premises in Hotel etc,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
256,02-03-2020,Health Dept,Unhygienic premises in Hotel etc,Hanumantha Nagar/155,South,Sahaaya Helpline,CLOSED
257,03-03-2020,Health Dept,Air/Noise pollution,Kadugodi/83,Mahadevapura,BBMP Website,CLOSED
258,03-03-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,BBMP Website,CLOSED
259,03-03-2020,Health Dept,Increase in mosquito density,Hongasandra/189,Bommanahalli,Sahaaya Helpline,CLOSED
260,03-03-2020,Health Dept,Delay in issue of Trade licence,Byrasandra/169,South,Nammabengaluru App,CLOSED
261,03-03-2020,Health Dept,Air/Noise pollution,HBR Layout/24,East,Sahaaya Helpline,REJECTED
262,03-03-2020,Health Dept,Increase in mosquito density,J.P.Park/17,RRNagar,Nammabengaluru App,CLOSED
263,03-03-2020,Health Dept,Delay in issue of Trade licence,Newthippasandra/58,East,Nammabengaluru App,REJECTED
264,03-03-2020,Health Dept,Unhygienic premises in Hotel etc,Konanakunte/195,Bommanahalli,Nammabengaluru App,CLOSED
265,03-03-2020,Health Dept,Delay in issue of Trade licence,Hoysala Nagar/80,East,Nammabengaluru App,REJECTED
266,03-03-2020,Health Dept,Air/Noise pollution,Mangammanapalya/190,Bommanahalli,Nammabengaluru App,CLOSED
267,03-03-2020,Health Dept,Unhygienic premises in Hotel etc,Jayangar/153,South,Nammabengaluru App,CLOSED
268,03-03-2020,Health Dept,Increase in mosquito density,Rajagopala Nagar/70,Dasarahalli,Nammabengaluru App,RESOLVED
269,03-03-2020,Health Dept,Increase in mosquito density,Bagalagunte/14,Dasarahalli,Nammabengaluru App,RESOLVED
270,03-03-2020,Health Dept,Fogging,Mathikere/36,West,Sahaaya Helpline,REJECTED
271,03-03-2020,Health Dept,Unhygienic premises in Hotel etc,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
272,03-03-2020,Health Dept,Fogging,Jeevanbhima Nagar/88,East,Nammabengaluru App,CLOSED
273,03-03-2020,Health Dept,Increase in mosquito density,J.P.Park/17,RRNagar,Nammabengaluru App,CLOSED
274,03-03-2020,Health Dept,Unhygienic premises in Hotel etc,Jeevanbhima Nagar/88,East,BBMP Website,CLOSED
275,03-03-2020,Health Dept,Air/Noise pollution,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
276,03-03-2020,Health Dept,Increase in mosquito density,Hombegowda Nagar/145,South,Nammabengaluru App,CLOSED
277,04-03-2020,Health Dept,Fogging,Ulsoor/90,East,Sahaaya Helpline,CLOSED
278,04-03-2020,Health Dept,Increase in mosquito density,Shanthi Nagar/117,East,Nammabengaluru App,REJECTED
279,04-03-2020,Health Dept,Increase in mosquito density,Lakshmidevi Nagar/42,RRNagar,Nammabengaluru App,REJECTED
280,04-03-2020,Health Dept,Air/Noise pollution,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
281,04-03-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
282,04-03-2020,Health Dept,Unhygienic premises in Hotel etc,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,REJECTED
283,04-03-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
284,04-03-2020,Health Dept,Increase in mosquito density,Yadiyuru/167,South,Nammabengaluru App,CLOSED
285,04-03-2020,Health Dept,Unhygienic premises in Hotel etc,Kadugodi/83,Mahadevapura,BBMP Website,CLOSED
286,04-03-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
287,04-03-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Sahaaya Helpline,CLOSED
288,05-03-2020,Health Dept,Increase in mosquito density,Varthur/149,Mahadevapura,Nammabengaluru App,CLOSED
289,05-03-2020,Health Dept,Air/Noise pollution,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
290,05-03-2020,Health Dept,Delay in issue of Trade licence,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
291,05-03-2020,Health Dept,Air/Noise pollution,Marathalli/86,Mahadevapura,Nammabengaluru App,CLOSED
292,05-03-2020,Health Dept,Spraying,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
293,05-03-2020,Health Dept,Unhygienic premises in Hotel etc,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
294,05-03-2020,Health Dept,Unhygienic premises in hospital,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
295,05-03-2020,Health Dept,Air/Noise pollution,Jalahalli/16,RRNagar,Nammabengaluru App,CLOSED
296,05-03-2020,Health Dept,Air/Noise pollution,Sagayapuram/60,East,Nammabengaluru App,CLOSED
297,05-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,REJECTED
298,05-03-2020,Health Dept,Fogging,Jnanabharathi Ward/129,RRNagar,Sahaaya Helpline,CLOSED
299,05-03-2020,Health Dept,Increase in mosquito density,Byatarayanapura/7,Yelahanka,BBMP Website,CLOSED
300,05-03-2020,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
301,05-03-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Sahaaya Helpline,CLOSED
302,05-03-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Sahaaya Helpline,CLOSED
303,05-03-2020,Health Dept,Air/Noise pollution,Dodda Bidarkallu/40,RRNagar,Nammabengaluru App,CLOSED
304,05-03-2020,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
305,05-03-2020,Health Dept,Fogging,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
306,05-03-2020,Health Dept,Air/Noise pollution,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
307,05-03-2020,Health Dept,Air/Noise pollution,Basavanapura/53,Mahadevapura,BBMP Website,REJECTED
308,05-03-2020,Health Dept,Air/Noise pollution,Dodda Bidarkallu/40,RRNagar,Sahaaya Helpline,CLOSED
309,06-03-2020,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
310,06-03-2020,Health Dept,Increase in mosquito density,Hoysala Nagar/80,East,Nammabengaluru App,CLOSED
311,06-03-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
312,06-03-2020,Health Dept,Air/Noise pollution,Devasandra/55,Mahadevapura,BBMP Website,CLOSED
313,06-03-2020,Health Dept,Air/Noise pollution,Devasandra/55,Mahadevapura,BBMP Website,CLOSED
314,06-03-2020,Health Dept,Delay in issue of Trade licence,Kumaraswamy Layout/181,South,Nammabengaluru App,CLOSED
315,06-03-2020,Health Dept,Fogging,Yelahanka old Satellite Town/4,Yelahanka,Sahaaya Helpline,CLOSED
316,06-03-2020,Health Dept,Increase in mosquito density,HAL Airport/87,Mahadevapura,BBMP Website,CLOSED
317,06-03-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
318,06-03-2020,Health Dept,Air/Noise pollution,Katriguppe/163,South,Nammabengaluru App,CLOSED
319,07-03-2020,Health Dept,Increase in mosquito density,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,CLOSED
320,07-03-2020,Health Dept,Unhygienic premises in Hotel etc,Bagalagunte/14,Dasarahalli,Nammabengaluru App,RESOLVED
321,07-03-2020,Health Dept,Air/Noise pollution,Kuvempu Nagar/11,Yelahanka,Nammabengaluru App,CLOSED
322,07-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,BBMP Website,CLOSED
323,07-03-2020,Health Dept,Spraying,Banaswadi/27,East,Sahaaya Helpline,REJECTED
324,07-03-2020,Health Dept,Air/Noise pollution,Chikpete/109,West,Nammabengaluru App,CLOSED
325,07-03-2020,Health Dept,Birth & Death Registration,Byatarayanapura/7,Yelahanka,Whatsapp,CLOSED
326,07-03-2020,Health Dept,Increase in mosquito density,Hombegowda Nagar/145,South,Nammabengaluru App,CLOSED
327,07-03-2020,Health Dept,Delay in issue of Trade licence,Vasanthapura/197,Bommanahalli,BBMP Website,CLOSED
328,07-03-2020,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Sahaaya Helpline,CLOSED
329,07-03-2020,Health Dept,Air/Noise pollution,BTM Layout/176,South,Nammabengaluru App,REJECTED
330,07-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,BBMP Website,REJECTED
331,07-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,BBMP Website,CLOSED
332,07-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,BBMP Website,CLOSED
333,07-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,BBMP Website,CLOSED
334,07-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,BBMP Website,CLOSED
335,07-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,BBMP Website,CLOSED
336,07-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,BBMP Website,REJECTED
337,07-03-2020,Health Dept,Air/Noise pollution,Visvesvarapuram/143,South,Nammabengaluru App,RESOLVED
338,07-03-2020,Health Dept,Unhygienic premises in Hotel etc,Konena Agrahara/113,East,Nammabengaluru App,CLOSED
339,07-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,BBMP Website,REJECTED
340,08-03-2020,Health Dept,Increase in mosquito density,Kamakshipalya/101,West,Nammabengaluru App,CLOSED
341,08-03-2020,Health Dept,Spraying,Kamakshipalya/101,West,Nammabengaluru App,CLOSED
342,08-03-2020,Health Dept,Fogging,Kamakshipalya/101,West,Nammabengaluru App,CLOSED
343,08-03-2020,Health Dept,Air/Noise pollution,Ulsoor/90,East,BBMP Website,REJECTED
344,08-03-2020,Health Dept,Increase in mosquito density,Gandhi Nagar/94,West,Nammabengaluru App,CLOSED
345,08-03-2020,Health Dept,Unhygienic premises in Hotel etc,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
346,08-03-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Whatsapp,CLOSED
347,08-03-2020,Health Dept,Air/Noise pollution,Kodigehalli/8,Yelahanka,BBMP Website,CLOSED
348,08-03-2020,Health Dept,Air/Noise pollution,Giri Nagar/162,South,Sahaaya Helpline,REJECTED
349,08-03-2020,Health Dept,Fogging,Konanakunte/195,Bommanahalli,Sahaaya Helpline,CLOSED
350,08-03-2020,Health Dept,Air/Noise pollution,Vasanth Nagar/93,East,Nammabengaluru App,CLOSED
351,08-03-2020,Health Dept,Unhygienic premises in Hotel etc,Kacharakanahalli/29,East,Nammabengaluru App,CLOSED
352,08-03-2020,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
353,08-03-2020,Health Dept,Increase in mosquito density,Pattabhiram Nagar/168,South,Nammabengaluru App,CLOSED
354,08-03-2020,Health Dept,Increase in mosquito density,J.P.Park/17,RRNagar,Nammabengaluru App,CLOSED
355,08-03-2020,Health Dept,Increase in mosquito density,Jeevanbhima Nagar/88,East,Nammabengaluru App,CLOSED
356,08-03-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Sahaaya Helpline,CLOSED
357,08-03-2020,Health Dept,Increase in mosquito density,Devasandra/55,Mahadevapura,BBMP Website,CLOSED
358,09-03-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
359,09-03-2020,Health Dept,Increase in mosquito density,Ulsoor/90,East,Nammabengaluru App,CLOSED
360,09-03-2020,Health Dept,Increase in mosquito density,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
361,09-03-2020,Health Dept,Fogging,Hoysala Nagar/80,East,Sahaaya Helpline,CLOSED
362,09-03-2020,Health Dept,Unhygienic premises in Hotel etc,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
363,09-03-2020,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,BBMP Website,CLOSED
364,09-03-2020,Health Dept,Air/Noise pollution,Vasanth Nagar/93,East,Nammabengaluru App,CLOSED
365,09-03-2020,Health Dept,Spraying,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
366,09-03-2020,Health Dept,Spraying,Shanthi Nagar/117,East,Nammabengaluru App,REJECTED
367,09-03-2020,Health Dept,Unhygienic premises in Hotel etc,Basaveshwara Nagar/100,West,Nammabengaluru App,CLOSED
368,09-03-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,BBMP Website,CLOSED
369,09-03-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
370,09-03-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,BBMP Website,CLOSED
371,09-03-2020,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
372,09-03-2020,Health Dept,Delay in issue of Trade licence,Shanthala Nagar/111,East,BBMP Website,REJECTED
373,09-03-2020,Health Dept,Increase in mosquito density,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
374,09-03-2020,Health Dept,Increase in mosquito density,Newthippasandra/58,East,Nammabengaluru App,CLOSED
375,09-03-2020,Health Dept,Spraying,Shettyhalli/12,Dasarahalli,Nammabengaluru App,RESOLVED
376,09-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,REJECTED
377,09-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,REJECTED
378,09-03-2020,Health Dept,Spraying,Shankaramata/75,West,Sahaaya Helpline,REJECTED
379,09-03-2020,Health Dept,Fogging,Sarvagna Nagar/79,East,Sahaaya Helpline,REJECTED
380,09-03-2020,Health Dept,Increase in mosquito density,Lakshmidevi Nagar/42,RRNagar,Nammabengaluru App,CLOSED
381,09-03-2020,Health Dept,Air/Noise pollution,Begur/192,Bommanahalli,BBMP Website,CLOSED
382,09-03-2020,Health Dept,Unhygienic premises in Hotel etc,Kushal Nagar/31,East,Nammabengaluru App,REJECTED
383,09-03-2020,Health Dept,Fogging,Ramaswamy Palya/62,East,Sahaaya Helpline,CLOSED
384,09-03-2020,Health Dept,Increase in mosquito density,Sri Rammandira/108,West,Nammabengaluru App,CLOSED
385,09-03-2020,Health Dept,Fogging,Dodda Bidarkallu/40,RRNagar,Sahaaya Helpline,CLOSED
386,09-03-2020,Health Dept,Unhygienic premises in Hotel etc,Hanumantha Nagar/155,South,Sahaaya Helpline,CLOSED
387,09-03-2020,Health Dept,Increase in mosquito density,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
388,09-03-2020,Health Dept,Fogging,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
389,09-03-2020,Health Dept,Increase in mosquito density,Sudduguntepalya/152,South,BBMP Website,CLOSED
390,09-03-2020,Health Dept,Unhygienic premises in Hotel etc,Vijanapura/51,Mahadevapura,Nammabengaluru App,CLOSED
391,10-03-2020,Health Dept,Increase in mosquito density,Jnanabharathi Ward/129,RRNagar,Nammabengaluru App,CLOSED
392,10-03-2020,Health Dept,Unhygienic premises in Hotel etc,Ramamurthy Nagar/26,Mahadevapura,Whatsapp,REJECTED
393,10-03-2020,Health Dept,Non availability of drugs,Byatarayanapura/7,Yelahanka,BBMP Website,CLOSED
394,10-03-2020,Health Dept,Increase in mosquito density,Hoysala Nagar/80,East,Nammabengaluru App,CLOSED
395,10-03-2020,Health Dept,Air/Noise pollution,Jogupalya/89,East,Nammabengaluru App,CLOSED
396,10-03-2020,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,REJECTED
397,10-03-2020,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
398,10-03-2020,Health Dept,Increase in mosquito density,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
399,10-03-2020,Health Dept,Increase in mosquito density,Kadugodi/83,Mahadevapura,Nammabengaluru App,CLOSED
400,10-03-2020,Health Dept,Increase in mosquito density,BTM Layout/176,South,Nammabengaluru App,CLOSED
401,10-03-2020,Health Dept,Increase in mosquito density,Doddanekkundi/85,Mahadevapura,BBMP Website,CLOSED
402,10-03-2020,Health Dept,Air/Noise pollution,Kamakshipalya/101,West,Nammabengaluru App,CLOSED
403,10-03-2020,Health Dept,Air/Noise pollution,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
404,10-03-2020,Health Dept,Air/Noise pollution,Kodigehalli/8,Yelahanka,Nammabengaluru App,CLOSED
405,10-03-2020,Health Dept,Unhygienic premises in Hotel etc,Garudacharpalya/82,Mahadevapura,Nammabengaluru App,CLOSED
406,10-03-2020,Health Dept,Increase in mosquito density,Hemmigepura/198,RRNagar,Sahaaya Helpline,CLOSED
407,10-03-2020,Health Dept,Unhygienic premises in Hotel etc,Bilekahalli/188,Bommanahalli,Nammabengaluru App,CLOSED
408,10-03-2020,Health Dept,Delay in issue of Trade licence,Basaveshwara Nagar/100,West,BBMP Website,CLOSED
409,10-03-2020,Health Dept,Fogging,Hemmigepura/198,RRNagar,Sahaaya Helpline,CLOSED
410,10-03-2020,Health Dept,Unhygienic premises in Hotel etc,Sunkenahalli/142,South,Sahaaya Helpline,RESOLVED
411,10-03-2020,Health Dept,Unhygienic premises in Hotel etc,Hombegowda Nagar/145,South,Nammabengaluru App,RESOLVED
412,10-03-2020,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,BBMP Website,CLOSED
413,10-03-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
414,10-03-2020,Health Dept,Unhygienic premises in Hotel etc,BTM Layout/176,South,Nammabengaluru App,CLOSED
415,10-03-2020,Health Dept,Increase in mosquito density,Sagayapuram/60,East,Nammabengaluru App,CLOSED
416,10-03-2020,Health Dept,Fogging,K.R.Puram/52,Mahadevapura,Sahaaya Helpline,CLOSED
417,10-03-2020,Health Dept,Air/Noise pollution,Vasanth Nagar/93,East,Nammabengaluru App,CLOSED
418,10-03-2020,Health Dept,Air/Noise pollution,Vasanth Nagar/93,East,Nammabengaluru App,CLOSED
419,11-03-2020,Health Dept,Unhygienic premises in Hotel etc,Hanumantha Nagar/155,South,BBMP Website,CLOSED
420,11-03-2020,Health Dept,Unhygienic premises in Hotel etc,Bommanahalli/175,Bommanahalli,BBMP Website,CLOSED
421,11-03-2020,Health Dept,Fogging,Jeevanbhima Nagar/88,East,Nammabengaluru App,CLOSED
422,11-03-2020,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
423,11-03-2020,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,BBMP Website,CLOSED
424,11-03-2020,Health Dept,Unhygienic premises in Hotel etc,Sri Nagar/156,South,BBMP Website,CLOSED
425,11-03-2020,Health Dept,Air/Noise pollution,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
426,11-03-2020,Health Dept,Unhygienic premises in Hotel etc,Kempegowda Ward/1,Yelahanka,BBMP Website,CLOSED
427,11-03-2020,Health Dept,Spraying,J.P.Park/17,RRNagar,Nammabengaluru App,CLOSED
428,11-03-2020,Health Dept,Air/Noise pollution,A.Narayanapura/56,Mahadevapura,Nammabengaluru App,CLOSED
429,11-03-2020,Health Dept,Increase in mosquito density,Hoysala Nagar/80,East,Sahaaya Helpline,CLOSED
430,11-03-2020,Health Dept,Spraying,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
431,11-03-2020,Health Dept,Unhygienic premises in Hotel etc,Sampangiram Nagar/110,East,Nammabengaluru App,CLOSED
432,11-03-2020,Health Dept,Unhygienic premises in Hotel etc,Ejipura/148,South,Nammabengaluru App,CLOSED
433,11-03-2020,Health Dept,Unhygienic premises in Hotel etc,Shanthala Nagar/111,East,Nammabengaluru App,REJECTED
434,11-03-2020,Health Dept,Increase in mosquito density,Shettyhalli/12,Dasarahalli,Sahaaya Helpline,RESOLVED
435,11-03-2020,Health Dept,Unhygienic premises in Hotel etc,Shettyhalli/12,Dasarahalli,Nammabengaluru App,RESOLVED
436,11-03-2020,Health Dept,Increase in mosquito density,Domlur/112,East,Nammabengaluru App,CLOSED
437,11-03-2020,Health Dept,Increase in mosquito density,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
438,11-03-2020,Health Dept,Increase in mosquito density,Uttarahalli/184,Bommanahalli,Nammabengaluru App,CLOSED
439,11-03-2020,Health Dept,Air/Noise pollution,Horamavu/25,Mahadevapura,Nammabengaluru App,REJECTED
440,11-03-2020,Health Dept,Increase in mosquito density,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
441,11-03-2020,Health Dept,Air/Noise pollution,Basavanagudi/154,South,Nammabengaluru App,REJECTED
442,12-03-2020,Health Dept,Unhygienic premises in Hotel etc,Visvesvarapuram/143,South,Nammabengaluru App,RESOLVED
443,12-03-2020,Health Dept,Air/Noise pollution,Basavanagudi/154,South,Nammabengaluru App,CLOSED
444,12-03-2020,Health Dept,Air/Noise pollution,Basavanagudi/154,South,Nammabengaluru App,CLOSED
445,12-03-2020,Health Dept,Spraying,Basavanapura/53,Mahadevapura,Sahaaya Helpline,CLOSED
446,12-03-2020,Health Dept,Spraying,Hemmigepura/198,RRNagar,BBMP Website,REJECTED
447,12-03-2020,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,BBMP Website,REJECTED
448,12-03-2020,Health Dept,Unhygienic premises in Hotel etc,Doddanekkundi/85,Mahadevapura,Nammabengaluru App,CLOSED
449,12-03-2020,Health Dept,Fogging,Moodalapalya/127,West,Sahaaya Helpline,CLOSED
450,12-03-2020,Health Dept,Air/Noise pollution,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
